CustomerKey,Full_name,Gender,DateFirstPurchase,Coustomer_city
11146,Karla Goel,Female,05-02-2022,Matraville
11147,Ernest Wu,Male,13-05-2020,Warrnambool
11148,Ross Vazquez,Male,07-03-2022,East Brisbane
11149,Theodore Gill,Male,04-06-2022,Hervey Bay
11150,Russell Shen,Male,27-03-2022,Sunbury
11151,Melinda Gill,Female,15-05-2020,Sydney
11152,James Williams,Male,09-01-2022,Puyallup
11153,Angela James,Female,29-03-2022,Renton
11154,Megan Walker,Female,10-01-2022,Woodburn
11155,Hunter Robinson,Male,06-01-2022,Burbank
11156,Maria Roberts,Female,08-01-2022,Lakewood
11157,Hannah Long,Female,24-07-2022,Tacoma
11158,Jason Wright,Male,19-01-2022,San Gabriel
11159,Brianna Hughes,Female,08-09-2022,Woodland Hills
11160,Maurice Tang,Male,21-02-2022,Concord
11161,Emily Wood,Female,01-06-2022,Concord
11162,Chase Cox,Male,18-02-2022,La Jolla
11163,Gabriel Wang,Male,01-05-2022,Spring Valley
11164,Devin Brooks,Male,27-04-2022,Torrance
11165,Jocelyn Alexander,Female,25-05-2022,Oakland
11166,Ashley Martinez,Female,14-10-2022,Olympia
11167,Jasmine Barnes,Female,07-01-2022,Issaquah
11168,David Rodriguez,Male,15-01-2022,Oakland
11169,Bryce Richardson,Male,26-05-2022,Coronado
11170,Carol Howard,Female,26-08-2022,Burien
11171,Jonathan Hill,Male,20-08-2020,Woodland Hills
11172,Gabrielle Adams,Female,03-05-2022,Lynnwood
11173,Sarah Thomas,Female,02-03-2022,W. Linn
11174,Nicholas Robinson,Male,13-07-2022,Los Angeles
11175,Luis Wang,Male,28-08-2020,Beverly Hills
11176,Mason Roberts,Male,02-02-2022,Haney
11177,Jose Flores,Male,29-03-2022,San Diego
11178,Nathan Johnson,Male,21-02-2022,Lakewood
11179,Molly Rodriguez,Female,12-03-2022,Beverly Hills
11180,April Anand,Female,17-03-2022,Chula Vista
11181,Devin Martin,Male,07-05-2022,Los Angeles
11182,Stephanie Torres,Female,28-08-2022,Sedro Woolley
11183,Jasmine Lee,Female,30-04-2022,Santa Cruz
11184,Meghan Hernandez,Female,10-08-2022,Concord
11185,Ashley Henderson,Female,21-02-2022,Metchosin
11186,Sarah Price,Female,18-10-2022,Palo Alto
11187,Jennifer Cooper,Female,03-04-2022,Burien
11188,Catherine Morris,Female,01-11-2022,San Gabriel
11189,Lawrence Blanco,Male,26-08-2020,Bellingham
11190,Carson Bryant,Male,28-08-2022,Beverly Hills
11191,Kristi Perez,Female,11-08-2020,Colma
11192,James Brown,Male,23-06-2022,Seattle
11193,Ian Gray,Male,25-02-2022,Woodburn
11194,Jacqueline Price,Female,13-03-2022,Palo Alto
11195,Megan Henderson,Female,14-04-2022,Renton
11196,Alfredo Romero,Male,03-03-2022,Beaverton
11197,Andrea Morris,Female,02-05-2022,Seattle
11198,Brooke Sanders,Female,05-02-2022,Santa Cruz
11199,Jacqueline Bennett,Female,18-03-2022,Burlingame
11200,Jason Griffin,Male,07-02-2022,Victoria
11201,Amanda Foster,Female,01-07-2022,Santa Monica
11202,Alexia Price,Female,15-09-2022,Lakewood
11203,Luis Diaz,Male,20-02-2022,Port Hammond
11204,Destiny Rivera,Female,09-08-2022,Beaverton
11205,Abby Fernandez,Female,27-07-2022,Burien
11206,Blake Flores,Male,11-05-2022,Lynnwood
11207,Danielle Cox,Female,31-01-2022,Renton
11208,Maria Reed,Female,04-03-2022,Glendale
11209,Allison Evans,Female,25-03-2022,Lincoln Acres
11210,Edward Wood,Male,06-05-2022,West Covina
11211,Samantha Russell,Female,01-02-2022,Haney
11212,Chloe Campbell,Female,30-01-2022,Metchosin
11213,Stephanie Murphy,Female,28-03-2022,Edmonds
11214,Charles Miller,Male,14-08-2022,Milwaukie
11215,Ana Perry,Female,15-02-2022,Royal Oak
11216,Jasmine Torres,Female,15-08-2020,Portland
11217,Natalie Adams,Female,10-08-2020,Portland
11218,Olivia Brown,Female,28-02-2022,Tacoma
11219,Charles Cook,Male,29-10-2022,Woodburn
11220,Erica Huang,Female,14-03-2022,Colma
11221,Nathan Perry,Male,07-04-2022,Lakewood
11222,Alexandra Rivera,Female,01-11-2022,Santa Monica
11223,Hailey Patterson,Female,29-01-2022,Langley
11224,Tiffany Li,Female,07-08-2020,Burien
11225,Madison Lee,Female,22-06-2022,Renton
11226,Sydney Ross,Female,21-02-2022,W. Linn
11227,Marshall Chavez,Male,03-08-2020,Colma
11228,Ashley Jones,Female,25-10-2022,El Cajon
11229,Adrian Stewart,Male,27-07-2022,Redwood City
11230,Amber Turner,Female,16-07-2022,Santa Monica
11231,Dennis Zhang,Male,10-02-2022,Bremerton
11232,Hailey Bryant,Female,20-09-2022,Everett
11233,Todd Li,Male,08-02-2022,Berkeley
11234,Anna Griffin,Female,08-02-2022,Long Beach
11235,Angel Stewart,Male,04-07-2022,Ballard
11236,Jeremy Butler,Male,03-10-2022,Bellingham
11237,Clarence Anand,Male,05-09-2020,Solingen
11238,Mayra Prasad,Female,06-01-2020,Birmingham
11239,Latoya Goel,Female,19-01-2020,London
11240,Anne Hernandez,Female,27-02-2020,Watford
11241,Lisa Cai,Female,10-09-2021,Les Ulis
11242,Larry Munoz,Male,19-09-2021,Versailles
11243,Robin Alvarez,Female,21-02-2020,Esher-Molesey
11244,Alexis Coleman,Female,12-02-2020,Runcorn
11245,Ricky Vazquez,Male,26-09-2020,Hamburg
11246,Latasha Rubio,Female,03-10-2020,Hamburg
11247,Claudia Zhou,Female,18-02-2020,Lancaster
11248,Tristan Alexander,Male,14-07-2022,Saint-Denis
11249,Cindy Patel,Female,09-10-2020,Sulzbach Taunus
11250,Shannon Liu,Female,17-03-2020,Woolston
11251,Xavier Long,Male,18-10-2022,Haney
11252,Nicholas Thompson,Male,14-08-2020,Lemon Grove
11253,José Hernandez,Male,01-03-2022,Victoria
11254,Johnathan Vance,Male,23-11-2022,Burien
11255,Colin Lin,Male,23-02-2022,Burien
11256,Katelyn Hernandez,Female,15-04-2022,Lynnwood
11257,Jacqueline Powell,Female,24-08-2020,Newport Beach
11258,Xavier Hill,Male,21-05-2022,Palo Alto
11259,Victoria Stewart,Female,04-09-2020,Salem
11260,Katelyn Kelly,Female,05-02-2022,Burlingame
11261,Stephanie Collins,Female,27-09-2020,San Diego
11262,Jennifer Simmons,Female,27-02-2022,Port Hammond
11263,Trinity Richardson,Female,29-08-2020,Burien
11264,Eduardo Martin,Male,02-01-2022,Issaquah
11265,Elizabeth Jones,Female,03-01-2022,Kirkland
11266,Taylor Howard,Female,10-09-2020,Port Orchard
11267,David Diaz,Male,17-09-2020,Burlingame
11268,Katelyn Carter,Female,29-05-2022,Coronado
11269,Ryan Foster,Male,22-08-2022,Daly City
11270,Robert Lee,Male,10-09-2020,Lakewood
11271,Danielle Reed,Female,27-09-2020,San Francisco
11272,Lauren Martinez,Female,19-09-2020,Beverly Hills
11273,Nathan Lal,Male,14-05-2022,La Jolla
11274,Kyle Foster,Male,29-08-2020,Bellingham
11275,Jenny Rai,Female,30-08-2020,Colma
11276,Nancy Chapman,Female,29-01-2022,Cliffside
11277,Charles Jackson,Male,02-02-2022,Royal Oak
11278,Jonathan Phillips,Male,16-09-2020,Edmonds
11279,Amanda Cook,Female,03-03-2022,Everett
11280,Robert Collins,Male,01-07-2022,Lynnwood
11281,Megan Barnes,Female,13-09-2020,Burbank
11282,Christian Thomas,Male,31-08-2020,Burien
11283,Arturo Lal,Male,29-05-2022,Berkeley
11284,Theresa Serrano,Female,06-02-2022,Chula Vista
11285,Jeremy Anderson,Male,27-07-2022,Fremont
11286,Hunter Griffin,Male,21-09-2020,Torrance
11287,Henry Garcia,Male,29-01-2022,Cliffside
11288,Cindy Sanchez,Female,05-03-2022,Burbank
11289,Maria Carter,Female,08-09-2020,Downey
11290,Katelyn Sanchez,Female,20-09-2020,Lakewood
11291,Jenna Wright,Female,04-09-2020,Lemon Grove
11292,Seth Phillips,Male,15-09-2020,San Gabriel
11293,Luke Long,Male,24-02-2022,Port Orchard
11294,Dalton Clark,Male,25-09-2022,Issaquah
11295,Taylor Lewis,Female,25-09-2020,Concord
11296,Haley Richardson,Female,01-09-2020,Everett
11297,Noah Coleman,Male,26-09-2020,Burbank
11298,Jon Luo,Male,12-09-2020,Chula Vista
11299,Orlando Vazquez,Male,26-09-2020,Burbank
11300,Fernando Barnes,Male,31-01-2022,N. Vancouver
11301,Cameron Rodriguez,Male,09-06-2022,Ballard
11302,Spencer Russell,Male,06-09-2020,Corvallis
11303,Julia Coleman,Female,02-09-2020,Edmonds
11304,Julia Garcia,Female,20-03-2022,Portland
11305,Sean Evans,Male,25-03-2022,Chula Vista
11306,Micah Zhou,Male,30-06-2022,Coronado
11307,Hunter Rodriguez,Male,04-09-2020,Daly City
11308,Ian Gonzales,Male,07-09-2022,Oregon City
11309,Victoria Lewis,Female,09-07-2022,Beaverton
11310,Erin Sanders,Female,12-08-2022,San Francisco
11311,Gabrielle Lopez,Female,18-04-2022,Lynnwood
11312,Sara Richardson,Female,17-05-2022,Lynnwood
11313,Trevor Jenkins,Male,07-05-2022,Port Orchard
11314,Mya Flores,Female,25-02-2022,Issaquah
11315,Hailey Ward,Female,20-05-2022,Port Orchard
11316,Luke Allen,Male,12-01-2022,Langford
11317,Victoria Russell,Female,01-09-2020,Salem
11318,Jessica Wilson,Female,17-10-2022,Edmonds
11319,Jade Bailey,Female,09-09-2020,Oakland
11320,Morgan Hill,Female,15-06-2022,Glendale
11321,Terrance Raman,Male,23-02-2022,Burien
11322,Sydney Garcia,Female,24-03-2022,Bremerton
11323,Jose Patterson,Male,10-09-2020,Daly City
11324,Zachary Anderson,Male,26-09-2020,Glendale
11325,Elijah Ross,Male,19-09-2020,Seattle
11326,Rafael Xie,Male,15-09-2020,Beverly Hills
11327,Jaime Moreno,Male,26-09-2020,Burbank
11328,Julian Griffin,Male,05-01-2022,Newton
11329,Andy Alvarez,Male,25-09-2020,Concord
11330,Ryan Thompson,Male,12-02-2022,Oak Bay
11331,Samantha Jenkins,Female,07-02-2022,Shawnee
11332,Deanna Ramos,Female,15-10-2020,Berlin
11333,Emily Miller,Female,21-03-2020,Newcastle upon Tyne
11334,Nicole Brown,Female,04-03-2020,Stoke-on-Trent
11335,Carla Raman,Female,23-10-2020,Hof
11336,Shaun Raji,Male,27-09-2021,Paris
11337,Jerome Romero,Male,09-03-2020,Watford
11338,Frank Navarro,Male,11-10-2020,Bonn
11339,Dennis She,Male,07-10-2021,Paris
11340,Melody Munoz,Female,27-10-2021,Paris
11341,Randy Zeng,Male,11-04-2020,Cheltenham
11342,Marshall Wang,Male,12-07-2022,Boulogne-sur-Mer
11343,Arthur Carlson,Male,04-04-2020,Oxon
11344,Jessie Jimenez,Female,13-05-2020,Oxford
11345,Robin Ramos,Female,22-10-2021,Tremblay-en-France
11346,Deanna Gutierrez,Female,01-10-2021,Paris
11347,Roy Navarro,Male,16-03-2022,Braunschweig
11348,Shawn Rai,Male,31-03-2022,Paderborn
11349,Mindy Luo,Female,13-01-2023,München
11350,Cara Zhou,Female,05-02-2022,Peterborough
11351,Anne Ramos,Female,12-06-2020,London
11352,Raymond Rodriguez,Male,01-05-2022,Pantin
11353,Carrie Ortega,Female,12-06-2020,Warrington
11354,Deanna Suarez,Female,03-12-2022,Grevenbroich
11355,Roberto Gutierrez,Male,26-09-2022,Wokingham
11356,Terrence Carson,Male,10-05-2020,Lavender Bay
11357,Ramon Ye,Male,18-06-2020,Caloundra
11358,Cynthia Malhotra,Female,28-06-2020,Coffs Harbour
11359,Jarrod Prasad,Male,13-06-2020,Malabar
11360,Tyrone Serrano,Male,27-06-2020,Rockhampton
11361,Cindy Ramos,Female,01-10-2022,Newcastle
11362,Damien Shan,Male,29-03-2022,Cranbourne
11363,Julian Ross,Male,08-06-2020,Melbourne
11364,Jennifer Collins,Female,07-06-2020,Geelong
11365,Brittney Sun,Female,31-05-2020,Findon
11366,Virginia Patel,Female,24-06-2022,Seaford
11367,Calvin Nara,Male,07-07-2022,North Sydney
11368,Edward Miller,Male,24-06-2020,Rockhampton
11369,Ashlee Tang,Female,05-07-2022,Findon
11370,Alicia Xu,Female,13-07-2022,South Melbourne
11371,Lacey Jai,Female,07-11-2022,Rockhampton
11372,Wendy Romero,Female,07-06-2020,Brisbane
11373,Carly Luo,Female,27-08-2022,Salzgitter
11374,Jimmy Ortega,Male,15-04-2022,Werne
11375,Francisco Martinez,Male,17-10-2022,High Wycombe
11376,Lance Vazquez,Male,15-10-2022,Liverpool
11377,David Robinett,Male,28-02-2022,Solingen
11378,Shannon Liang,Female,17-10-2021,Metz
11379,Gary Vazquez,Male,02-10-2021,Boulogne-Billancourt
11380,Mitchell Kumar,Male,11-10-2020,Saarlouis
11381,Meredith Raman,Female,12-06-2020,London
11382,Edward Patterson,Male,03-11-2021,Roubaix
11383,Marie Gill,Female,01-01-2023,Roissy en Brie
11384,Tiffany Wang,Female,02-08-2022,Les Ulis
11385,Miguel Allen,Male,06-07-2022,York
11386,Jaclyn Cai,Female,02-11-2022,Darmstadt
11387,Megan Ramirez,Female,26-07-2020,Gateshead
11388,Joseph Martin,Male,03-07-2020,York
11389,Karl Shan,Male,17-11-2022,Duesseldorf
11390,Christine Raji,Female,07-11-2022,Saint Germain en Laye
11391,Lindsay Xie,Female,26-10-2022,Salzgitter
11392,Willie Zhao,Male,29-03-2022,Frankfurt
11393,Kurt Pal,Male,16-07-2022,Saint Ouen
11394,George McDonald,Male,04-07-2020,Milton Keynes
11395,Beth Gutierrez,Female,14-11-2020,Frankfurt
11396,Ian Lopez,Male,26-10-2022,Saarlouis
11397,Latoya Shan,Female,07-07-2022,Paris
11398,Colin Nath,Male,03-07-2020,Newcastle upon Tyne
11399,Brenda Mehta,Female,13-04-2022,Paris
11400,Franklin Raji,Male,15-07-2020,London
11401,Linda Navarro,Female,28-10-2021,Paris
11402,Kelli Cai,Female,07-11-2021,Orleans
11403,Nancy Schmidt,Female,28-10-2021,Saint Ouen
11404,Megan Taylor,Female,10-02-2022,Kassel
11405,Bonnie Goel,Female,31-03-2022,Bonn
11406,Latoya Xu,Female,04-11-2021,Paris
11407,Mario She,Male,23-06-2022,Münster
11408,Darren Gill,Male,05-03-2022,London
11409,Jacqueline Hayes,Female,17-11-2021,Saint Germain en Laye
11410,Maurice Goel,Male,13-11-2021,Paris
11411,Devin Ross,Male,04-08-2022,Ingolstadt
11412,Sydney Bryant,Female,05-11-2020,Ingolstadt
11413,Megan Stewart,Female,10-08-2020,Gateshead
11414,Ian Richardson,Male,13-08-2020,Kirkby
11415,Randy She,Male,16-08-2022,Darmstadt
11416,Katrina Becker,Female,07-11-2021,Croix
11417,Lacey Zheng,Female,04-11-2021,Pantin
11418,Rafael Hu,Male,17-12-2022,Paderborn
11419,Kyle Scott,Male,12-03-2022,Watford
11420,Jordan Turner,Male,01-11-2021,Roubaix
11421,Amy Sun,Female,03-11-2020,Offenbach
11422,Dustin Deng,Male,22-08-2020,Liverpool
11423,Jasmine Stewart,Female,10-12-2020,Hamburg
11424,Pamela Garcia,Female,21-04-2022,Berlin
11425,Ariana Gray,Female,22-11-2021,Metz
11426,Kristopher Mehta,Male,09-04-2022,Braunschweig
11427,Desiree Dominguez,Female,20-12-2020,Kiel
11428,Deanna Perez,Female,05-12-2020,Poing
11429,Marco Lopez,Male,14-12-2021,Sèvres
11430,Casey Yuan,Female,19-03-2022,Bottrop
11431,Bryant Garcia,Male,21-12-2020,Hof
11432,Dominique Prasad,Female,10-12-2021,Roissy en Brie
11433,Maurice Shan,Male,02-12-2021,Tremblay-en-France
11434,Andre Lopez,Male,15-06-2022,West Sussex
11435,Robin Romero,Female,04-01-2023,Kiel
11436,Taylor Cox,Female,22-05-2022,Watford
11437,Alfredo Moreno,Male,19-12-2022,Villeneuve-d'Ascq
11438,Jenny Nara,Female,05-02-2022,Werne
11439,Janet Munoz,Female,29-11-2021,Paris La Defense
11440,Sergio Weber,Male,27-03-2022,Lille
11441,Erika Gomez,Female,08-01-2023,Paris
11442,Joseph Harris,Male,29-09-2022,Tremblay-en-France
11443,Grace Griffin,Female,07-06-2020,Hobart
11444,Tina Mehta,Female,01-06-2020,Bendigo
11445,Kari Kim,Female,06-06-2020,Silverwater
11446,Bethany Chander,Female,18-06-2020,Lane Cove
11447,Jennifer Roberts,Female,28-06-2020,Hervey Bay
11448,Kyle Patterson,Male,16-06-2020,Melbourne
11449,Alvin Hu,Male,19-06-2020,Seaford
11450,Brett Mehta,Male,29-06-2020,Cloverdale
11451,Ruben Muñoz,Male,29-07-2020,Newcastle
11452,Erika Rubio,Female,11-07-2020,Caloundra
11453,Stanley Malhotra,Male,15-07-2020,Hobart
11454,Melinda Navarro,Female,31-07-2020,Melbourne
11455,Ross Sanz,Male,01-07-2020,Melton
11456,Jon Gao,Male,17-07-2020,St. Leonards
11457,Jaime Gutierrez,Female,17-07-2020,Wollongong
11458,Bianca Liu,Female,30-03-2022,Springwood
11459,Tasha Deng,Female,27-07-2020,Port Macquarie
11460,Melvin Chande,Male,21-07-2020,Cranbourne
11461,Victor Jimenez,Male,31-07-2020,Lavender Bay
11462,Laura Lin,Female,16-07-2020,Matraville
11463,Alisha Beck,Female,05-03-2022,Cloverdale
11464,Alejandro Huang,Male,22-07-2020,South Melbourne
11465,Louis Luo,Male,14-07-2020,Gold Coast
11466,Grant Tang,Male,22-05-2022,Lavender Bay
11467,Arturo Zheng,Male,31-07-2022,St. Leonards
11468,Jaclyn Andersen,Female,08-08-2020,York
11469,Edwin Raji,Male,09-08-2022,York
11470,Jay Suarez,Male,22-01-2021,Stuttgart
11471,Latasha Suarez,Female,17-05-2022,Chatou
11472,Kenneth Kumar,Male,26-07-2020,Hawthorne
11473,Grace Henderson,Female,02-06-2022,Drancy
11474,Melvin Xu,Male,26-09-2022,Peterborough
11475,Cesar Subram,Male,23-04-2022,London
11476,Erika Navarro,Female,01-11-2022,Kirkby
11477,Tristan Hughes,Male,25-09-2022,Darmstadt
11478,Billy Hernandez,Male,19-04-2022,Sèvres
11479,Darryl Wu,Male,05-12-2021,Saint Ouen
11480,Colleen Ma,Female,25-12-2021,Tremblay-en-France
11481,Erica Hu,Female,27-01-2021,Braunschweig
11482,Adrienne Torres,Female,08-09-2020,Warrington
11483,Calvin Chande,Male,22-12-2021,Paris
11484,Erick Sai,Male,02-01-2021,Neunkirchen
11485,Donald Chandra,Male,14-09-2020,Esher-Molesey
11486,Ariana Rogers,Female,24-11-2022,Erlangen
11487,Morgan Jones,Female,15-12-2022,Dunkerque
11488,Jermaine Lopez,Male,28-10-2020,London
11489,Deborah Goel,Female,28-10-2020,Oxford
11490,Danny Rubio,Male,04-04-2022,Paris La Defense
11491,Andre Perez,Male,07-11-2020,London
11492,Terrence Chander,Male,11-02-2021,Eilenburg
11493,Dawn Wu,Female,14-11-2020,London
11494,Jimmy Gutierrez,Male,23-12-2020,Runcorn
11495,Francis Jimenez,Male,26-10-2022,Bonn
11496,Gary Ortega,Male,30-11-2020,Warrington
11497,Katrina Nath,Female,04-11-2022,Newcastle upon Tyne
11498,Arturo Sun,Male,28-02-2022,Cliffside
11499,Pedro Vance,Male,06-04-2022,Concord
11500,Sarah Simmons,Female,31-01-2022,Langley
11501,Brandy Chandra,Female,27-03-2022,Cliffside
11502,Jared Peterson,Male,30-01-2022,Shawnee
11503,Dennis Wu,Male,26-05-2022,Coronado
11504,Jordan Baker,Female,01-05-2022,Downey
11505,Jasmine Powell,Female,22-02-2022,Burnaby
11506,Nicholas Brown,Male,08-03-2022,Port Hammond
11507,Isabella Russell,Female,17-02-2022,Victoria
11508,Elizabeth Wilson,Female,02-05-2022,Lynnwood
11509,Roger Harui,Female,29-07-2022,Novato
